Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,mean_N-fHP,mean_L-fHP
PFKFB2,2.449348807,4.443573474,19.23548391,2.84E-39,3.82E-35,78.75340008,6.149619437,3.706871808
GRB10,2.712022438,3.92021102,17.7936937,3.75E-36,2.52E-32,71.6699897,5.81274069,3.102982299
OLAH,4.255914224,1.539013397,16.53061132,2.51E-33,1.13E-29,65.24505706,4.512806012,0.254875677
STS,1.370777937,3.901965719,16.09531097,2.47E-32,5.70E-29,62.98494983,4.867062797,3.485219254
GTDC1,1.020382353,4.03175492,16.09047993,2.54E-32,5.70E-29,62.95973878,4.743422477,3.72444393
LPXN,-0.875643892,7.234303631,-16.10679447,2.33E-32,5.70E-29,63.04486582,6.619168468,7.499930179
IL18R1,2.21770182,5.868626737,15.84748796,9.18E-32,1.77E-28,61.6881069,7.414689017,5.201008935
AES,-1.056372013,7.73812649,-15.82049263,1.06E-31,1.79E-28,61.54640554,7.00116238,8.056360993
ERLIN1,1.350348404,4.849842631,15.79728288,1.20E-31,1.80E-28,61.42450711,5.794360106,4.441982813
ECHDC3,2.677936729,4.190609967,15.58369133,3.74E-31,3.67E-28,60.29978619,6.061238004,3.382838769
ST6GALNAC3,1.658398724,2.747934723,15.56039607,4.24E-31,3.67E-28,60.1768018,3.903157115,2.24908869
PHTF1,1.128226774,5.01220689,15.57120548,4.00E-31,3.67E-28,60.23387642,5.799088741,4.672417
KLHL2,1.080287316,6.789434289,15.55499839,4.36E-31,3.67E-28,60.14829658,7.543395204,6.463860258
BRCA1,0.997389079,3.529211962,15.58798371,3.66E-31,3.67E-28,60.32244049,4.22490836,3.228797609
PRPF19,-0.782890703,6.302786832,-15.61608107,3.15E-31,3.67E-28,60.47068065,5.754661583,6.539477281
RPL18,-1.065763658,7.929706214,-15.56991386,4.03E-31,3.67E-28,60.22705726,7.188484979,8.249779019
C12orf45,-0.978424172,6.410333722,-15.53110192,4.95E-31,3.93E-28,60.02205909,5.72576339,6.705943638
RPS28,-1.183797853,8.352654513,-15.45499526,7.44E-31,5.57E-28,59.61957954,7.528069243,8.708725425
GNB2L1,-0.9463021,8.182197865,-15.35515949,1.27E-30,8.82E-28,59.09062081,7.520592183,8.467891227
HSP90AB1,-0.971825738,7.795813346,-15.34960749,1.31E-30,8.82E-28,59.06117192,7.118236367,8.088403405
EEF2,-0.982480705,10.73161306,-15.28495042,1.85E-30,1.19E-27,58.71796485,10.04660158,11.02741347
SIPA1L2,1.791012238,5.887306346,15.1922819,3.05E-30,1.87E-27,58.22526178,7.144074182,5.344611144
SLC5A9,2.326324596,1.36939714,15.178061,3.29E-30,1.89E-27,58.14956793,2.989399392,0.669850713
NONO,-0.572369041,7.048759932,-15.17396047,3.36E-30,1.89E-27,58.12773782,6.646700077,7.222376688
