Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,mean_N-fHP,mean_L-fHP
CPEB4,0.93269014,1.441749897,9.224744553,2.22E-11,1.47E-07,15.82866723,2.009655333,1.101006636
IGSF8,-0.819353473,2.859040871,-9.136894266,2.87E-11,1.47E-07,15.58080673,2.350178623,3.16435822
STMN3,-0.973722374,3.119960995,-9.046508174,3.76E-11,1.47E-07,15.32470084,2.516231034,3.482198972
LCK,-1.245081955,4.919124309,-8.994286056,4.39E-11,1.47E-07,15.1762309,4.131305641,5.39181551
MAP4K1,-1.082254557,3.702137938,-8.793308911,8.00E-11,1.79E-07,14.60146822,3.045298003,4.096241899
CD3E,-1.361698872,6.140900823,-8.840919334,6.93E-11,1.79E-07,14.73810677,5.283971736,6.655058274
DCTN4,0.535429217,2.017967593,8.620471321,1.35E-10,2.26E-07,14.1029717,2.347825902,1.820052608
NOB1,-0.698467129,3.382849512,-8.632999749,1.30E-10,2.26E-07,14.1392347,2.943402888,3.646517486
PDIA4,-0.613423027,3.623299227,-8.547414996,1.68E-10,2.28E-07,13.89111794,3.241415944,3.852429196
EVL,-1.066678304,4.0403606,-8.542607517,1.70E-10,2.28E-07,13.87715333,3.372796153,4.440899268
MTA2,-0.632440236,4.226919233,-8.462339459,2.17E-10,2.65E-07,13.64356744,3.837250378,4.460720547
NSUN7,1.30308561,0.996837168,8.368247187,2.89E-10,2.94E-07,13.3687401,1.813858019,0.506624656
RRP1B,-0.535174182,2.038098918,-8.308313754,3.47E-10,2.94E-07,13.19312387,1.695955694,2.243384852
RASA3,-0.686003964,4.210254342,-8.285410921,3.72E-10,2.94E-07,13.12590034,3.781175449,4.467701678
LPXN,-0.782135131,4.546050613,-8.29652544,3.60E-10,2.94E-07,13.15853108,4.06009624,4.837623236
ESYT1,-0.960605324,4.173907803,-8.294764505,3.62E-10,2.94E-07,13.1533622,3.582334625,4.528851709
SPOCK2,-1.085294488,4.722246041,-8.307360546,3.48E-10,2.94E-07,13.1903273,4.056539753,5.121669815
ECI2,-0.530192631,1.62896625,-8.242971045,4.24E-10,2.97E-07,13.00116737,1.304499399,1.823646361
KIF22,-0.722555481,2.506410111,-8.238806696,4.29E-10,2.97E-07,12.98891665,2.067467083,2.769775927
CDC25B,-1.168641783,4.391052802,-8.228875426,4.43E-10,2.97E-07,12.95969247,3.660730973,4.8292459
GPR141,1.140452177,1.283858034,8.105834823,6.46E-10,3.67E-07,12.59667348,2.003249284,0.852223284
DDX56,-0.581649898,3.081577786,-8.090078863,6.78E-10,3.67E-07,12.55006102,2.718895774,3.299186993
DDOST,-0.612282043,5.116070555,-8.087381806,6.84E-10,3.67E-07,12.54207921,4.740395036,5.341475866
TMC6,-0.687322926,3.921097018,-8.142287992,5.77E-10,3.67E-07,12.70440766,3.496326588,4.175959277
XRCC6,-0.689161743,5.289778296,-8.096533483,6.65E-10,3.67E-07,12.5691598,4.874108383,5.539180244
COPS6,-0.491231546,3.844115324,-8.070347107,7.21E-10,3.72E-07,12.49164672,3.53892343,4.02723046
PYGO2,-0.532026857,3.519924874,-8.044055716,7.81E-10,3.75E-07,12.41374466,3.195621126,3.714507122
PLCG1,-0.799164796,2.248375482,-8.031861723,8.11E-10,3.75E-07,12.37758713,1.74488338,2.550470743
FAM102A,-1.077012664,3.509607404,-8.038723222,7.94E-10,3.75E-07,12.39793485,2.845196461,3.908253969
FAM78A,-0.579394108,4.319233575,-8.009365826,8.70E-10,3.89E-07,12.31083879,3.949952116,4.540802451
NOP56,-0.633456474,2.948455403,-7.98948876,9.25E-10,4.00E-07,12.25181394,2.556835914,3.183427096
NUP210,-0.711982974,3.238251923,-7.941690394,1.07E-09,4.49E-07,12.10969826,2.798347999,3.502194278
ULK3,-0.762096209,2.672054161,-7.875892976,1.31E-09,5.34E-07,11.91365964,2.197536709,2.956764633
HABP4,-0.688108232,1.381599882,-7.847156291,1.44E-09,5.41E-07,11.82789478,0.944667502,1.643759311
CD6,-1.20103554,3.806118818,-7.853541437,1.41E-09,5.41E-07,11.8469589,3.05105977,4.259154246
PTPRCAP,-1.433035362,7.027223321,-7.843769344,1.45E-09,5.41E-07,11.81778062,6.138046278,7.560729546
ATIC,-0.598068147,2.432612697,-7.790048788,1.72E-09,6.22E-07,11.6571977,2.067025102,2.651965254
SIPA1L2,1.627699582,1.616514201,7.775699491,1.79E-09,6.33E-07,11.61425333,2.614869792,1.017500847
SLC22A15,0.914276133,1.303101613,7.737697224,2.02E-09,6.54E-07,11.50041792,1.874533467,0.9602425
