Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,mean_N-fHP,mean_L-fHP
GP1BB,4.437899721,-0.201872361,18.25085343,1.53E-16,2.44E-12,26.56745202,3.553273556,-0.884626165
SMIM15,-4.403924954,3.242145494,-12.2265081,2.08E-12,1.65E-08,18.14773508,-0.484252544,3.91967241
NKX6-2,4.960653764,0.049665383,11.60069825,6.79E-12,3.59E-08,17.0508793,4.247141645,-0.713512119
GDE1,-2.469780962,3.451305766,-10.84391298,3.01E-11,1.19E-07,15.65713425,1.361491106,3.831272068
PRDX1,3.870301333,3.860251091,10.40969232,7.29E-11,1.98E-07,14.82280973,7.13512145,3.264820117
PRPF19,3.575799507,1.556929235,10.35974515,8.08E-11,1.98E-07,14.72517985,4.582605741,1.006806234
CCDC86,3.01716953,0.27212846,10.32282357,8.72E-11,1.98E-07,14.65278839,2.825118062,-0.192051468
SLC25A11,-2.038127234,3.778440776,-9.794548051,2.66E-10,4.84E-07,13.59611272,2.053871578,4.091998812
MTDH,-2.934514616,2.495390506,-9.730920253,3.05E-10,4.84E-07,13.46618174,0.012339677,2.946854293
MED18,-2.981504821,1.96362355,-9.742226196,2.97E-10,4.84E-07,13.48931112,-0.559188222,2.422316599
ARF4,2.332919875,3.339334305,9.680414268,3.40E-10,4.90E-07,13.36263542,5.31334343,2.980423555
FAM161B,3.42039681,-0.035783538,9.596802625,4.07E-10,4.97E-07,13.19041579,2.858398379,-0.561998431
TOM1L1,-1.350898439,2.593892053,-9.613103263,3.93E-10,4.97E-07,13.22406959,1.450824143,2.801722582
EEF2,5.476641223,3.269406141,9.556579055,4.44E-10,5.04E-07,13.10720864,7.903487175,2.426845953
GALNT2,2.356638104,0.03817289,9.384658143,6.46E-10,6.74E-07,12.74895297,2.032251286,-0.324386818
TECR,2.28019046,3.426400319,9.291907801,7.92E-10,6.74E-07,12.55390974,5.355792246,3.075601786
CXXC5,-1.757764211,2.990686838,-9.290309335,7.95E-10,6.74E-07,12.55053747,1.503347891,3.261112102
ERLIN1,-2.157197599,1.619045293,-9.308058964,7.65E-10,6.74E-07,12.58796296,-0.206275752,1.950921847
SENP2,-2.16583802,1.388575644,-9.284037368,8.06E-10,6.74E-07,12.53730202,-0.444056527,1.721781493
GORASP2,-3.134180665,3.436181113,-9.215182145,9.39E-10,7.46E-07,12.39162647,0.784182089,3.918362754
TMEM14C,1.915629725,4.751476113,9.16578783,1.05E-09,7.92E-07,12.28670197,6.372393573,4.456763848
AVPR2,2.901429327,-0.154744293,9.13858781,1.11E-09,8.04E-07,12.22877244,2.300311292,-0.601118036
EVI2B,-4.028362688,3.262264959,-8.820315167,2.28E-09,1.57E-06,11.54296548,-0.146349623,3.882013065
SLC30A9,-2.067381381,2.734276846,-8.726700149,2.82E-09,1.72E-06,11.33845132,0.984954139,3.05233552
ATF1,-2.261091791,4.105404838,-8.759563029,2.61E-09,1.72E-06,11.41038925,2.192173323,4.453265114
