Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,mean_N-fHP,mean_L-fHP
AKR1C3,3.961793633,3.291314622,10.40070028,1.56E-06,0.002925564,5.700075143,4.6119125,0.650118867
PAQR5,3.8542731,2.342092133,9.46995497,3.57E-06,0.002925564,4.948709007,3.626849833,-0.227423267
MDK,3.468945333,4.804847222,9.157309872,4.78E-06,0.002925564,4.677788629,5.961162333,2.492217
SIGLEC11,3.3788726,3.5253233,9.55961849,3.29E-06,0.002925564,5.024619211,4.651614167,1.272741567
RAB13,3.300313867,6.617159345,9.542549456,3.34E-06,0.002925564,5.010228654,7.717263968,4.416950101
NUPR1,3.182515,6.457556,9.524707088,3.39E-06,0.002925564,4.995155885,7.518394333,4.335879333
IFIT3,3.00757,6.018983,10.49421492,1.44E-06,0.002925564,5.77127698,7.021506333,4.013936333
IFIT1,2.908960167,3.690798111,12.48355084,3.03E-07,0.002925564,7.124062747,4.6604515,1.751491333
SCD,2.555386333,6.113274222,9.167225134,4.74E-06,0.002925564,4.686532077,6.965069667,4.409683333
TNFRSF10C,2.468002367,1.887619211,9.248050711,4.39E-06,0.002925564,4.757431574,2.710286667,0.2422843
LYPD5,2.45678747,2.073514177,9.965475032,2.28E-06,0.002925564,5.358626756,2.892443333,0.435655863
IFIT2,2.454259167,5.510318111,10.3980289,1.57E-06,0.002925564,5.69803014,6.3284045,3.874145333
B3GALNT1,2.3854885,2.299632167,11.47597352,6.49E-07,0.002925564,6.475677711,3.094795,0.7093065
FXYD6,2.361959833,3.720671889,9.155765407,4.79E-06,0.002925564,4.676425787,4.507991833,2.146032
STMN1,2.204529013,5.984771622,9.351378679,3.98E-06,0.002925564,4.847108698,6.719614626,4.515085613
GCHFR,1.915780667,9.000004111,9.217212579,4.52E-06,0.002925564,4.730458994,9.638597667,7.722817
GPR34,1.791699,5.206638333,10.00928386,2.19E-06,0.002925564,5.393763492,5.803871333,4.012172333
CCRL2,1.749642667,5.010659444,9.197563834,4.60E-06,0.002925564,4.713222857,5.593873667,3.844231
ATP6V1B2,1.513436,5.900765333,9.65185983,3.02E-06,0.002925564,5.101899556,6.405244,4.891808
RAD51AP1,1.418462167,4.190396111,10.60301602,1.32E-06,0.002925564,5.853182815,4.663216833,3.244754667
IDH1,1.401410167,5.993195444,9.2818511,4.25E-06,0.002925564,4.78688462,6.460332167,5.058922
CNR2,-1.67931223,0.545914568,-11.71494579,5.39E-07,0.002925564,6.635916684,-0.013856175,1.665456055
SPAG6,-1.816303,2.139638333,-9.613221242,3.13E-06,0.002925564,5.069627511,1.534204,3.350507
GPD1,5.4675143,4.406534233,7.663058978,2.18E-05,0.002989628,3.236687658,6.229039,0.7615247
FOLR1,5.266667107,3.714694298,7.79502651,1.89E-05,0.002989628,3.374473679,5.47025,0.203582893
LSAMP,5.006861833,4.032323056,7.482897376,2.66E-05,0.002989628,3.04504196,5.701277,0.694415167
HOXB6,4.824632893,3.131284702,7.64762564,2.22E-05,0.002989628,3.22043165,4.739495667,-0.085137227
HCAR2,4.786491867,4.432006878,7.483309012,2.66E-05,0.002989628,3.045484557,6.027504167,1.2410123
MME,4.7858902,3.0553231,8.181863576,1.26E-05,0.002989628,3.766112294,4.650619833,-0.135270367
PPIC,4.764975767,5.127400744,7.678311921,2.15E-05,0.002989628,3.252724247,6.715726,1.950750233
VMO1,4.7174985,7.163191,9.030786361,5.39E-06,0.002989628,4.565329085,8.7356905,4.018192
AGRP,4.687948333,6.322876222,8.079725082,1.40E-05,0.002989628,3.664448771,7.885525667,3.197577333
HCAR3,4.118644367,3.010490878,7.556340396,2.45E-05,0.002989628,3.123665105,4.383372333,0.264727967
MAP1LC3C,4.070571467,2.640335844,7.603386632,2.33E-05,0.002989628,3.17366808,3.997193,-0.073378467
TNNI2,4.054830667,6.495742111,7.976482578,1.56E-05,0.002989628,3.560425931,7.847352333,3.792521667
LPL,4.033562333,5.836334556,8.109479173,1.36E-05,0.002989628,3.694191755,7.180855333,3.147293
MLPH,3.756215467,3.972763844,7.394727729,2.94E-05,0.002989628,2.949736472,5.224835667,1.4686202
MPZL2,3.723170437,2.796422854,8.306456669,1.11E-05,0.002989628,3.888471645,4.037479667,0.31430923
PROS1,3.6704832,3.5878596,7.784490692,1.91E-05,0.002989628,3.363552833,4.811354,1.1408708
GLDN,3.669076,4.468017,8.385461918,1.02E-05,0.002989628,3.965131479,5.691042333,2.021966333
WDR49,3.653133067,3.164453978,8.06554855,1.42E-05,0.002989628,3.650240539,4.382165,0.729031933
HK3,3.546556833,5.912150889,8.028232506,1.48E-05,0.002989628,3.612726499,7.0943365,3.547779667
KAZALD1,3.534002167,1.906540444,7.585370778,2.38E-05,0.002989628,3.154553186,3.084541167,-0.449461
IL1RN,3.5155595,4.853272,7.685910523,2.13E-05,0.002989628,3.260702349,6.025125167,2.509565667
SPARC,3.485904833,4.392293222,8.863571826,6.34E-06,0.002989628,4.414136211,5.5542615,2.068356667
SERPING1,3.4514725,7.290087,7.417857899,2.86E-05,0.002989628,2.974836023,8.440577833,4.989105333
FFAR4,3.411582333,5.089462889,7.790917242,1.90E-05,0.002989628,3.370215872,6.226657,2.815074667
PCSK9,3.406876734,1.677957283,7.682843853,2.14E-05,0.002989628,3.25748339,2.813582861,-0.593293873
A4GNT,3.274928734,1.753324089,7.624935542,2.28E-05,0.002989628,3.196477582,2.844967,-0.429961734
DDO,3.225092,4.091777333,8.402356912,1.00E-05,0.002989628,3.981432279,5.166808,1.941716
NMB,3.185844833,6.577063222,7.58967316,2.37E-05,0.002989628,3.159121772,7.6390115,4.453166667
ABCG2,3.1677409,3.135854533,7.436554553,2.80E-05,0.002989628,2.995073851,4.191768167,1.024027267
FCGR1A,3.167208116,6.36582777,8.994326272,5.59E-06,0.002989628,4.532613306,7.421563809,4.254355692
GPX3,3.054333,4.983179667,8.383616004,1.02E-05,0.002989628,3.963348515,6.001290667,2.946957667
PLBD1,3.0389865,6.854227333,7.409771674,2.89E-05,0.002989628,2.966069209,7.867222833,4.828236333
MTMR11,3.014933582,2.273303318,7.464986504,2.72E-05,0.002989628,3.025762805,3.278281179,0.263347597
THAP10,2.967026447,1.896796851,7.383967981,2.97E-05,0.002989628,2.9380369,2.885805667,-0.08122078
SORT1,2.962389602,4.605483765,7.385934544,2.97E-05,0.002989628,2.94017636,5.592946966,2.630557364
EPB41L1,2.961102633,3.369113789,7.826395907,1.83E-05,0.002989628,3.406908361,4.356148,1.395045367
STAC3,2.9594675,5.637649,8.090521953,1.38E-05,0.002989628,3.675253756,6.624138167,3.664670667
APOL4,2.942474667,4.956331444,7.671089195,2.16E-05,0.002989628,3.245134082,5.937156333,2.994681667
HNMT,2.9118475,6.061638,8.222054826,1.21E-05,0.002989628,3.805780358,7.032253833,4.120406333
SLC7A7,2.884068167,5.919475778,7.65021077,2.21E-05,0.002989628,3.223156669,6.880831833,3.996763667
CYP27A1,2.8584535,7.479115667,7.644507603,2.23E-05,0.002989628,3.217143767,8.4319335,5.57348
CXCR2,2.850836813,1.941668396,7.536904511,2.51E-05,0.002989628,3.102925499,2.891947333,0.04111052
EPHX1,2.783919833,5.653413222,7.972507379,1.57E-05,0.002989628,3.556395111,6.5813865,3.797466667
