Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,mean_N-fHP,mean_L-fHP
CD1C,-0.645786404,-0.315104918,-7.974045692,9.04E-13,2.66E-09,18.5892888,-0.759744737,-0.113958333
POMC,-1.514937719,0.09330082,-7.675694992,4.40E-12,6.46E-09,17.07782294,-0.949771053,0.565166667
FNDC1,-0.885821366,-0.074927049,-7.374493,2.13E-11,2.09E-08,15.57133929,-0.684836842,0.200984524
CD86,-0.672701316,-0.069054918,-7.073497115,1.01E-10,7.40E-08,14.08811559,-0.532226316,0.140475
IL12B,-1.266579574,0.523460656,-6.94674602,1.92E-10,1.13E-07,13.4708597,-0.348610526,0.917969048
CD6,-1.120532644,0.973709016,-6.903049847,2.40E-10,1.18E-07,13.25913801,0.202194737,1.322727381
CD207,-0.656377882,-0.160422951,-6.764073676,4.85E-10,2.03E-07,12.58955006,-0.612355263,0.044022619
RET,-0.717279135,-0.057454098,-6.656017972,8.33E-10,3.06E-07,12.07307223,-0.551318421,0.165960714
IL12A_IL12B,-1.495059023,0.796040164,-6.593814908,1.14E-09,3.38E-07,11.77746036,-0.233344737,1.261714286
CHAD,-1.051387281,-0.689722951,-6.591213062,1.15E-09,3.38E-07,11.76512308,-1.413628947,-0.362241667
MMP3,1.34788515,1.366879508,6.501934834,1.79E-09,4.79E-07,11.34315901,2.294931579,0.947046429
THBS4,-0.882634586,0.070052459,-6.46030366,2.20E-09,5.39E-07,11.14731789,-0.537663158,0.344971429
IGDCC4,-0.502339662,-0.238555738,-6.402386676,2.93E-09,6.20E-07,10.87586406,-0.584428947,-0.082089286
PRND,-0.982680013,-0.085403279,-6.400687946,2.95E-09,6.20E-07,10.86791995,-0.762002632,0.220677381
SFRP4,-0.711525439,0.047110656,-6.273351528,5.50E-09,1.08E-06,10.27537092,-0.442792105,0.268733333
SIGLEC6,-0.571864286,0.382392623,-6.212304557,7.40E-09,1.36E-06,9.993395053,-0.01135,0.560514286
CLEC4C,-0.908678446,0.39212377,-6.17963654,8.66E-09,1.50E-06,9.843074334,-0.233523684,0.675154762
AGER,-0.818231203,-0.390430328,-6.151921078,9.90E-09,1.62E-06,9.715859821,-0.953802632,-0.135571429
IL1RL1,0.76582312,0.750967213,6.048225151,1.63E-08,2.52E-06,9.242521504,1.278255263,0.512432143
FAP,-0.49480119,-0.158817213,-6.00298507,2.02E-08,2.97E-06,9.037338823,-0.4995,-0.00469881
FCRL1,-0.825846303,0.026941803,-5.867974287,3.83E-08,5.36E-06,8.429930695,-0.541673684,0.284172619
CD200R1,-0.566439599,0.153191803,-5.855797109,4.06E-08,5.42E-06,8.375515692,-0.236815789,0.32962381
CXCL13,1.252099812,1.106259016,5.758460621,6.40E-08,8.18E-06,7.942809836,1.968360526,0.716260714
SERPINA9,-1.019565038,-0.129962295,-5.686067251,8.96E-08,1.10E-05,7.623630875,-0.831957895,0.187607143
CCDC80,-0.619157957,0.956084426,-5.512489046,1.99E-07,2.34E-05,6.86782573,0.529778947,1.148936905
SIT1,-1.108136278,1.634310656,-5.430249074,2.89E-07,3.26E-05,6.514555617,0.871331579,1.979467857
CBLN4,-0.491290852,0.383536885,-5.396390946,3.36E-07,3.53E-05,6.370040324,0.045271053,0.536561905
CD72,-0.748833709,0.550861475,-5.396108925,3.37E-07,3.53E-05,6.368838877,0.035271053,0.784104762
COL1A1,-0.738141416,-0.478618852,-5.331455308,4.50E-07,4.56E-05,6.094413883,-0.986847368,-0.248705952
CRH,-1.06524693,-0.780356557,-5.316364673,4.81E-07,4.72E-05,6.030652089,-1.513805263,-0.448558333
SERPINA3,0.259219799,0.317328689,5.290250873,5.41E-07,5.13E-05,5.920577291,0.495807895,0.236588095
MATN3,0.607413346,1.315283607,5.273018341,5.84E-07,5.36E-05,5.848122094,1.733502632,1.126089286
GGH,-0.565389787,-0.019570492,-5.255227404,6.32E-07,5.63E-05,5.773472781,-0.408855263,0.156534524
CD79B,-0.641709085,0.78817459,-5.243458004,6.66E-07,5.75E-05,5.724175533,0.346342105,0.98805119
LAMA4,-0.44849906,0.5943,-5.206450373,7.84E-07,6.58E-05,5.569615369,0.285497368,0.733996429
BGLAP,-1.499672431,-2.11134918,-5.137064949,1.06E-06,8.68E-05,5.281689733,-3.143910526,-1.644238095
INSL5,0.913442982,0.089348361,5.064907946,1.46E-06,0.000111216,4.984873912,0.718276316,-0.195166667
GALNT7,-0.269121805,0.143618033,-5.072953526,1.41E-06,0.000111216,5.017835814,-0.041678947,0.227442857
CD5,-0.595866792,0.464892623,-5.061868732,1.48E-06,0.000111216,4.972431332,0.054623684,0.650490476
IDO1,-1.266024687,-0.104995082,-5.01816177,1.78E-06,0.000131015,4.794028575,-0.976684211,0.289340476
ENPP6,-0.410582456,0.142530328,-4.999527829,1.93E-06,0.000138513,4.718274001,-0.140165789,0.270416667
LTA,-0.543298246,0.205542623,-4.991380538,2.00E-06,0.000140042,4.685209625,-0.168531579,0.374766667
CPQ,-0.410347368,0.598036885,-4.979537422,2.11E-06,0.000143932,4.637209167,0.315502632,0.72585
FCAMR,-0.891000877,0.411591803,-4.938713209,2.51E-06,0.000167559,4.47232067,-0.201884211,0.689116667
IL10,1.29376698,1.38062541,4.861477878,3.48E-06,0.00022759,4.162824608,2.271415789,0.97764881
NTRK2,-0.26280708,0.258262295,-4.790765724,4.70E-06,0.000299981,3.882329891,0.077313158,0.340120238
IL15,0.553045927,0.487209016,4.77874668,4.94E-06,0.000306128,3.834929315,0.867994737,0.31494881
